TimeStamp,Value
TimeStamp,Value
TimeStamp,Value
20220928124442,55.54741621017456
20220928124443,58.40554237365723
20220928124444,10.115885734558105
20220928124445,12.22165822982788
20220928124446,16.95249080657959
20220928124447,56.324303150177
20220928124448,10.12815237045288
20220928124449,4.8003435134887695
20220928124450,55.43292760848999
20220928124451,279.51574325561523
20220928124452,279.11094427108765
20220928124453,278.55894565582275
20220928124454,279.10276651382446
20220928124455,279.16001081466675
20220928124456,278.71432304382324
20220928124457,279.5402765274048
20220928124458,279.1927218437195
20220928124459,279.15592193603516
20220928124500,279.11094427108765
20220928124501,279.1436553001404
20220928124502,55.60874938964844
20220928124503,279.20089960098267
20220928124504,279.1395664215088
20220928124505,278.747034072876
20220928124506,279.127299785614
20220928124507,279.1886329650879
20220928124508,274.67042207717896
20220928124509,279.10276651382446
20220928124510,278.6979675292969
20220928124511,279.11094427108765
20220928124512,279.15183305740356
20220928124513,279.50347661972046
20220928124514,279.10685539245605
20220928124515,279.147744178772
20220928124516,54.52519655227661
20220928124517,279.1232109069824
20220928124518,55.45337200164795
20220928124519,279.11094427108765
20220928124520,55.719149112701416
20220928124521,57.50190019607544
20220928124522,55.69052696228027
20220928124523,55.4779052734375
20220928124524,60.93655824661255
20220928124525,55.54332733154297
20220928124526,267.74795055389404
20220928124527,279.5443654060364
20220928124528,279.16409969329834
20220928124529,55.59239387512207
20220928124530,66.67325496673584
20220928124531,342.55807399749756
20220928124532,48.44094514846802
20220928124533,61.97104454040527
20220928124534,32.26943016052246
20220928124535,31.402587890625
20220928124536,32.776451110839844
20220928124537,35.77768802642822
20220928124538,34.80044603347778
20220928124539,35.07031202316284
20220928124540,278.21139097213745
20220928124541,29.10463809967041
20220928124542,34.87813472747803
20220928124544,279.20907735824585
20220928124545,49.62671995162964
20220928124546,21.098613739013672
20220928124547,1211.0318064689636
20220928124548,1210.9745621681213
20220928124549,28.867483139038086
20220928124550,1210.8355402946472
20220928124551,1210.9745621681213
20220928124552,1211.0236287117004
20220928124553,35.393333435058594
20220928124554,1210.9745621681213
20220928124555,1210.9459400177002
20220928124556,15.276050567626953
20220928124557,279.56480979919434
20220928124558,35.601866245269775
20220928124559,27.231931686401367
20220928124600,278.7347674369812
20220928124601,24.762248992919922
20220928124602,278.6938786506653
20220928124603,41.792428493499756
20220928124604,278.76338958740234
20220928124605,276.66988372802734
20220928124606,278.6775231361389
20220928124607,48.83347749710083
20220928124608,279.1313886642456
20220928124609,48.78441095352173
20220928124610,55.58421611785889
20220928124611,35.34426689147949
20220928124612,41.98051691055298
20220928124613,281.6624045372009
20220928124614,280.3784966468811
20220928124615,279.9777865409851
20220928124616,278.71841192245483
20220928124617,278.75930070877075
20220928124618,278.6897897720337
20220928124619,279.51574325561523
20220928124620,278.71432304382324
20220928124621,278.61618995666504
